Suggested phrase or words.1,Hand
,
THUMBS UP,EITHER
,
PRAYER HANDS,BOTH
OTHER,RIGTH
OTHER,BOTH
COUNTING,
THUMBS UP,RIGTH
PRAYER HANDS,RIGTH
THUMBS UP,EITHER
THUMBS UP,RIGTH
,
OTHER,
SNAPPING,RIGTH
THUMBS UP,
PUT BOTH TOGETHER,BOTH
HANDSHAKE,
THUMBS UP OR CLAPPING,
THUMBS UP,
,
OTHER,
SHAKING HAND,
,BOTH
OTHER,RIGTH
OTHER,BOTH
OTHER,RIGTH
OTHER,RIGTH
THUMBS UP,EITHER
,
THUMBS UP,EITHER
OTHER,BOTH
THUMBS UP,
THUMBS UP,
THUMBS UP,
THUMBS UP,
SHAKING HAND,
,
THUMBS UP,RIGTH
SHAKING HAND,RIGTH
THUMBS UP,
THUMBS UP,
OTHER,RIGTH
SHAKING HAND,
OTHER,RIGTH
,
OTHER,BOTH
THUMBS UP,EITHER
OTHER,RIGTH
THUMBS UP,
,
,
SHAKING HAND,RIGTH
HAND ON HEART,
THUMBS UP,EITHER
OTHER,BOTH
OTHER,RIGTH
THUMBS UP,
OTHER,RIGTH
THUMBS UP,
OTHER,RIGTH
THUMBS UP,
THUMBS UP,
OTHER,EITHER
THUMBS UP,
THUMBS UP,
,
,RIGTH
,
,BOTH
,RIGTH
THUMBS UP,EITHER
,RIGTH
,EITHER
,
THUMBS UP,EITHER
THUMBS UP,EITHER
,RIGTH
SHAKING HAND,
,BOTH
RAISING HAND,RIGTH
,BOTH
,
,RIGTH
,RIGTH
,
,RIGTH
THUMBS UP,
,RIGTH
RAISING HAND,BOTH
,
,
THUMBS UP,
THUMBS UP,
,
,
THUMBS,BOTH
,BOTH
,
RAISING HAND/WAVING,BOTH
,LEFT
,
SIGN OF HAND PRAYING,BOTH
,RIGTH
THUMBS UP,
,RIGTH
,BOTH
,
RAISING HAND,BOTH
,BOTH
POINTING FINGER,
,BOTH
