Suggested phrase or words.1,Hand
,
,
PUT HAND BEHIND/CHIN,BOTH
,
SHAKING,
THUMBS UP,
,
,
SIGNING,RIGHT
CLAPPING,
THUMBS UP/CLAPPING,
,
,
HANDSHAKE,RIGHT
OTHERS,
THUMBS UP,RIGHT
PICKING UPWARD THE HANDS,RIGHT
,
THUMBS UP,
,
,
RUBBING CHIN,
,
,
NODDING/TILTING HEAD,
,RIGHT
,RIGHT
,RIGHT
,
THUMBS UP,
,
WRITE IN AIR,RIGHT
,
OTHERS,
,
THUMBS UP,
NODDING,
,
,BOTH
,RIGHT
,
,
,
CROSSING ARM,
RAISING HAND,BOTH
,BOTH
,RIGHT
,
,
CLAPPING ,
,BOTH
RAISING HAND,BOTH
,BOTH
OTHERS,
,BOTH
,RIGHT
CLOSED ARM,
,RIGHT
,
HOLD CHIN,
,
TURNING HAND,
UNFOLD HANDS,
,
,RIGHT
THUMBS UP,
,BOTH
,BOTH
,RIGHT
,BOTH
